Date-Time,Instantaneous computed discharge (cfs),Computed instantaneous suspended sediment (mg/L),"Computed instantaneous suspended sediment, lower 90% prediction (mg/L)","Computed instantaneous suspended sediment, upper 90% prediction (mg/L)",Instantaneous turbidity (FNU)
10/27/2014 01:00,18,100,59,180,46
10/27/2014 00:00,18,100,59,180,46
10/26/2014 23:00,18,110,62,190,48
10/26/2014 22:00,18,110,62,190,48
10/26/2014 21:00,18,110,61,180,47
10/26/2014 20:00,18,100,58,180,45
10/26/2014 19:00,18,100,59,180,46
10/26/2014 18:00,18,110,61,180,47
10/26/2014 17:00,18,110,61,180,47
10/26/2014 16:00,18,97,55,170,43
10/26/2014 15:00,18,95,54,170,42
10/26/2014 14:00,18,90,52,160,40
10/26/2014 13:00,18,92,53,160,41
10/26/2014 12:00,18,92,53,160,41
10/26/2014 11:00,18,92,53,160,41
10/26/2014 10:00,18,92,53,160,41
10/26/2014 09:00,18,92,53,160,41
10/26/2014 08:00,18,97,55,170,43
10/26/2014 07:00,19,97,55,170,43
10/26/2014 06:00,18,110,61,180,47
10/26/2014 05:00,18,99,57,170,44
10/26/2014 04:00,18,90,52,160,40
10/26/2014 03:00,18,99,57,170,44
10/26/2014 02:00,18,95,54,170,42
10/26/2014 01:00,18,95,54,170,42
10/26/2014 00:00,18,99,57,170,44
10/25/2014 23:00,18,95,54,170,42
10/25/2014 22:00,18,95,54,170,42
10/25/2014 21:00,18,95,54,170,42
10/25/2014 20:00,17,97,55,170,43
10/25/2014 19:00,18,90,52,160,40
10/25/2014 18:00,18,97,55,170,43
10/25/2014 17:00,17,97,55,170,43
10/25/2014 16:00,17,100,58,180,45
10/25/2014 15:00,17,99,57,170,44
10/25/2014 14:00,18,99,57,170,44
10/25/2014 13:00,18,97,55,170,43
10/25/2014 12:00,19,99,57,170,44
10/25/2014 11:00,18,110,61,180,47
10/25/2014 10:00,19,110,62,190,48
10/25/2014 09:00,19,110,64,200,50
10/25/2014 08:00,19,110,66,200,51
10/25/2014 07:00,19,110,63,190,49
10/25/2014 06:00,19,110,66,200,51
10/25/2014 05:00,19,110,64,200,50
10/25/2014 04:00,19,110,63,190,49
10/25/2014 03:00,19,110,62,190,48
10/25/2014 02:00,20,110,62,190,48
10/25/2014 01:00,20,120,67,200,52
10/25/2014 00:00,20,130,72,220,56
10/24/2014 23:00,20,130,72,220,56
10/24/2014 22:00,21,130,72,220,56
10/24/2014 21:00,21,130,76,230,59
10/24/2014 20:00,21,120,68,210,53
10/24/2014 19:00,22,120,67,200,52
10/24/2014 18:00,22,120,67,200,52
10/24/2014 17:00,22,120,67,200,52
10/24/2014 16:00,22,130,73,220,57
10/24/2014 15:00,22,110,64,200,50
10/24/2014 14:00,22,110,64,200,50
10/24/2014 13:00,21,110,63,190,49
10/24/2014 12:00,19,110,63,190,49
10/24/2014 11:00,18,120,70,210,54
10/24/2014 10:00,18,120,70,210,54
10/24/2014 09:00,18,130,73,220,57
10/24/2014 08:00,18,140,79,240,61
10/24/2014 07:00,18,140,79,240,61
10/24/2014 06:00,18,130,77,240,60
10/24/2014 05:00,18,130,76,230,59
10/24/2014 04:00,18,130,75,230,58
10/24/2014 03:00,18,130,73,220,57
10/24/2014 02:00,19,130,76,230,59
10/24/2014 01:00,19,130,72,220,56
10/24/2014 00:00,19,130,72,220,56
10/23/2014 23:00,20,130,73,220,57
10/23/2014 22:00,20,130,73,220,57
10/23/2014 21:00,20,130,73,220,57
10/23/2014 20:00,20,130,72,220,56
10/23/2014 19:00,20,120,70,210,54
10/23/2014 17:00,19,110,64,200,50
10/23/2014 16:00,18,110,64,200,50
10/23/2014 15:00,18,110,66,200,51
10/23/2014 14:00,18,120,68,210,53
10/23/2014 13:00,17,120,68,210,53
10/23/2014 12:00,17,120,70,210,54
10/23/2014 11:00,17,120,67,200,52
10/23/2014 10:00,17,120,71,220,55
10/23/2014 09:00,17,130,76,230,59
10/23/2014 08:00,16,120,70,210,54
10/23/2014 07:00,16,110,66,200,51
10/23/2014 06:00,16,110,64,200,50
10/23/2014 05:00,16,110,64,200,50
10/23/2014 04:00,16,110,66,200,51
10/23/2014 03:00,17,120,68,210,53
10/23/2014 02:00,16,120,67,200,52
10/23/2014 01:00,16,120,68,210,53
10/23/2014 00:00,16,110,62,190,48
10/22/2014 23:00,16,99,57,170,44
10/22/2014 22:00,16,99,57,170,44
10/22/2014 21:00,16,110,61,180,47
10/22/2014 20:00,17,110,64,200,50
10/22/2014 19:00,17,110,64,200,50
10/22/2014 18:00,17,120,68,210,53
10/22/2014 17:00,16,110,66,200,51
10/22/2014 16:00,16,110,63,190,49
10/22/2014 15:00,16,110,66,200,51
10/22/2014 14:00,16,110,66,200,51
10/22/2014 13:00,16,110,66,200,51
10/22/2014 12:00,16,110,66,200,51
10/22/2014 11:00,17,110,63,190,49
10/22/2014 10:00,16,110,64,200,50
10/22/2014 09:00,17,120,71,220,55
10/22/2014 08:00,17,120,71,220,55
10/22/2014 07:00,17,120,71,220,55
10/22/2014 06:00,17,120,70,210,54
10/22/2014 05:00,17,120,70,210,54
10/22/2014 04:00,17,120,67,200,52
10/22/2014 03:00,17,120,67,200,52
10/22/2014 02:00,17,120,67,200,52
10/22/2014 01:00,17,130,72,220,56
10/22/2014 00:00,17,120,67,200,52
10/21/2014 23:00,17,110,64,200,50
10/21/2014 22:00,18,110,62,190,48
10/21/2014 21:00,18,110,64,200,50
10/21/2014 20:00,18,110,62,190,48
10/21/2014 19:00,18,110,62,190,48
10/21/2014 18:00,17,110,62,190,48
10/21/2014 17:00,17,100,59,180,46
10/21/2014 16:00,17,100,59,180,46
10/21/2014 15:00,17,100,59,180,46
10/21/2014 14:00,17,100,59,180,46
10/21/2014 13:00,17,100,59,180,46
10/21/2014 12:00,17,99,57,170,44
10/21/2014 11:00,17,99,57,170,44
10/21/2014 10:00,17,100,59,180,46
10/21/2014 09:00,17,110,62,190,48
10/21/2014 08:00,17,120,67,200,52
10/21/2014 07:00,17,110,64,200,50
10/21/2014 06:00,17,120,67,200,52
10/21/2014 05:00,17,120,70,210,54
10/21/2014 04:00,17,120,67,200,52
10/21/2014 03:00,17,110,62,190,48
10/21/2014 02:00,17,110,62,190,48
10/21/2014 01:00,17,110,62,190,48
10/21/2014 00:00,17,110,64,200,50
10/20/2014 23:00,17,110,64,200,50
10/20/2014 22:00,17,100,59,180,46
10/20/2014 21:00,17,99,57,170,44
10/20/2014 20:00,17,99,57,170,44
10/20/2014 19:00,17,95,54,170,42
10/20/2014 18:00,17,99,57,170,44
10/20/2014 17:00,17,90,52,160,40
10/20/2014 16:00,17,90,52,160,40
10/20/2014 15:00,17,86,49,150,38
10/20/2014 14:00,17,90,52,160,40
10/20/2014 13:00,17,90,52,160,40
10/20/2014 12:00,17,88,50,150,39
10/20/2014 11:00,17,86,49,150,38
10/20/2014 10:00,16,88,50,150,39
10/20/2014 09:00,16,95,54,170,42
10/20/2014 08:00,16,97,55,170,43
10/20/2014 07:00,16,97,55,170,43
10/20/2014 06:00,16,90,52,160,40
10/20/2014 05:00,16,97,55,170,43
10/20/2014 04:00,16,88,50,150,39
10/20/2014 03:00,16,92,53,160,41
10/20/2014 02:00,16,88,50,150,39
10/20/2014 01:00,16,90,52,160,40
10/20/2014 00:00,16,77,44,130,34
10/19/2014 23:00,16,77,44,130,34
10/19/2014 22:00,16,77,44,130,34
10/19/2014 21:00,16,79,45,140,35
10/19/2014 20:00,17,79,45,140,35
10/19/2014 19:00,17,77,44,130,34
10/19/2014 18:00,16,75,43,130,33
10/19/2014 17:00,17,72,41,130,32
10/19/2014 16:00,17,72,41,130,32
10/19/2014 15:00,17,75,43,130,33
10/19/2014 14:00,17,75,43,130,33
10/19/2014 13:00,17,72,41,130,32
10/19/2014 12:00,17,75,43,130,33
10/19/2014 11:00,17,81,46,140,36
10/19/2014 10:00,17,86,49,150,38
10/19/2014 09:00,17,88,50,150,39
10/19/2014 08:00,17,95,54,170,42
10/19/2014 07:00,17,88,50,150,39
10/19/2014 06:00,17,90,52,160,40
10/19/2014 05:00,17,86,49,150,38
10/19/2014 04:00,17,86,49,150,38
10/19/2014 03:00,17,86,49,150,38
10/19/2014 02:00,17,84,48,150,37
10/19/2014 01:00,17,84,48,150,37
